,price,price_clipped,price_clipped_normalized,price_normalized
2023-01-02 18:00:00,17.474,17.474,0.6549137741214612,0.333301543098022
2023-01-02 18:15:00,17.474,17.474,0.6549137741214612,0.333301543098022
2023-01-02 18:30:00,17.474,17.474,0.6549137741214612,0.333301543098022
2023-01-02 18:45:00,17.474,17.474,0.6549137741214612,0.333301543098022
2023-01-02 19:00:00,16.446,16.446,0.6163850251345744,0.31369332595799876
2023-01-02 19:15:00,16.446,16.446,0.6163850251345744,0.31369332595799876
2023-01-02 19:30:00,16.446,16.446,0.6163850251345744,0.31369332595799876
2023-01-02 19:45:00,16.446,16.446,0.6163850251345744,0.31369332595799876
2023-01-02 20:00:00,15.3,15.3,0.5734337154663133,0.2918343601579339
2023-01-02 20:15:00,15.3,15.3,0.5734337154663133,0.2918343601579339
2023-01-02 20:30:00,15.3,15.3,0.5734337154663133,0.2918343601579339
2023-01-02 20:45:00,15.3,15.3,0.5734337154663133,0.2918343601579339
2023-01-02 21:00:00,14.167,14.167,0.5309696370595595,0.27022335819329735
2023-01-02 21:15:00,14.167,14.167,0.5309696370595595,0.27022335819329735
2023-01-02 21:30:00,14.167,14.167,0.5309696370595595,0.27022335819329735
2023-01-02 21:45:00,14.167,14.167,0.5309696370595595,0.27022335819329735
2023-01-02 22:00:00,13.491,13.491,0.5056336114611785,0.25732923875102526
2023-01-02 22:15:00,13.491,13.491,0.5056336114611785,0.25732923875102526
2023-01-02 22:30:00,13.491,13.491,0.5056336114611785,0.25732923875102526
2023-01-02 22:45:00,13.491,13.491,0.5056336114611785,0.25732923875102526
2023-01-02 23:00:00,12.422,12.422,0.46556821003415316,0.23693898182234346
2023-01-02 23:15:00,12.422,12.422,0.46556821003415316,0.23693898182234346
2023-01-02 23:30:00,12.422,12.422,0.46556821003415316,0.23693898182234346
2023-01-02 23:45:00,12.422,12.422,0.46556821003415316,0.23693898182234346
2023-01-03 00:00:00,13.001,13.001,0.48726874083513316,0.24798290956949662
2023-01-03 00:15:00,13.001,13.001,0.48726874083513316,0.24798290956949662
2023-01-03 00:30:00,13.001,13.001,0.48726874083513316,0.24798290956949662
2023-01-03 00:45:00,13.001,13.001,0.48726874083513316,0.24798290956949662
2023-01-03 01:00:00,12.0,12.0,0.4497519336990692,0.22888969424151678
2023-01-03 01:15:00,12.0,12.0,0.4497519336990692,0.22888969424151678
2023-01-03 01:30:00,12.0,12.0,0.4497519336990692,0.22888969424151678
2023-01-03 01:45:00,12.0,12.0,0.4497519336990692,0.22888969424151678
2023-01-03 02:00:00,11.876,11.876,0.4451044970508454,0.22652450073435443
2023-01-03 02:15:00,11.876,11.876,0.4451044970508454,0.22652450073435443
2023-01-03 02:30:00,11.876,11.876,0.4451044970508454,0.22652450073435443
2023-01-03 02:45:00,11.876,11.876,0.4451044970508454,0.22652450073435443
2023-01-03 03:00:00,11.5,11.5,0.4310122697949413,0.21935262364812025
2023-01-03 03:15:00,11.5,11.5,0.4310122697949413,0.21935262364812025
2023-01-03 03:30:00,11.5,11.5,0.4310122697949413,0.21935262364812025
2023-01-03 03:45:00,11.5,11.5,0.4310122697949413,0.21935262364812025
2023-01-03 04:00:00,11.363,11.363,0.42587760188521023,0.2167394663055296
2023-01-03 04:15:00,11.363,11.363,0.42587760188521023,0.2167394663055296
2023-01-03 04:30:00,11.363,11.363,0.42587760188521023,0.2167394663055296
2023-01-03 04:45:00,11.363,11.363,0.42587760188521023,0.2167394663055296
2023-01-03 05:00:00,11.627,11.627,0.4357721444265898,0.22177503957884298
2023-01-03 05:15:00,11.627,11.627,0.4357721444265898,0.22177503957884298
2023-01-03 05:30:00,11.627,11.627,0.4357721444265898,0.22177503957884298
2023-01-03 05:45:00,11.627,11.627,0.4357721444265898,0.22177503957884298
2023-01-03 06:00:00,13.892,13.892,0.5206628219122891,0.26497796936692924
2023-01-03 06:15:00,13.892,13.892,0.5206628219122891,0.26497796936692924
2023-01-03 06:30:00,13.892,13.892,0.5206628219122891,0.26497796936692924
2023-01-03 06:45:00,13.892,13.892,0.5206628219122891,0.26497796936692924
2023-01-03 07:00:00,15.992,15.992,0.5993694103096262,0.3050336658591947
2023-01-03 07:15:00,15.992,15.992,0.5993694103096262,0.3050336658591947
2023-01-03 07:30:00,15.992,15.992,0.5993694103096262,0.3050336658591947
2023-01-03 07:45:00,15.992,15.992,0.5993694103096262,0.3050336658591947
2023-01-03 08:00:00,16.917,16.917,0.6340377885322629,0.3226772464569783
2023-01-03 08:15:00,16.917,16.917,0.6340377885322629,0.3226772464569783
2023-01-03 08:30:00,16.917,16.917,0.6340377885322629,0.3226772464569783
2023-01-03 08:45:00,16.917,16.917,0.6340377885322629,0.3226772464569783
2023-01-03 09:00:00,17.118,17.118,0.6415711334217221,0.3265111488355237
2023-01-03 09:15:00,17.118,17.118,0.6415711334217221,0.3265111488355237
2023-01-03 09:30:00,17.118,17.118,0.6415711334217221,0.3265111488355237
2023-01-03 09:45:00,17.118,17.118,0.6415711334217221,0.3265111488355237
2023-01-03 10:00:00,16.857,16.857,0.6317890288637674,0.32153279798577067
2023-01-03 10:15:00,16.857,16.857,0.6317890288637674,0.32153279798577067
2023-01-03 10:30:00,16.857,16.857,0.6317890288637674,0.32153279798577067
2023-01-03 10:45:00,16.857,16.857,0.6317890288637674,0.32153279798577067
2023-01-03 11:00:00,16.949,16.949,0.635237127022127,0.32328761897495567
2023-01-03 11:15:00,16.949,16.949,0.635237127022127,0.32328761897495567
2023-01-03 11:30:00,16.949,16.949,0.635237127022127,0.32328761897495567
2023-01-03 11:45:00,16.949,16.949,0.635237127022127,0.32328761897495567
2023-01-03 12:00:00,16.45,16.45,0.6165349424458073,0.31376962252274593
2023-01-03 12:15:00,16.45,16.45,0.6165349424458073,0.31376962252274593
2023-01-03 12:30:00,16.45,16.45,0.6165349424458073,0.31376962252274593
2023-01-03 12:45:00,16.45,16.45,0.6165349424458073,0.31376962252274593
2023-01-03 13:00:00,16.091,16.091,0.6030798637626436,0.3069220058366872
2023-01-03 13:15:00,16.091,16.091,0.6030798637626436,0.3069220058366872
2023-01-03 13:30:00,16.091,16.091,0.6030798637626436,0.3069220058366872
2023-01-03 13:45:00,16.091,16.091,0.6030798637626436,0.3069220058366872
2023-01-03 14:00:00,16.306,16.306,0.6111379192414186,0.3110229461918477
2023-01-03 14:15:00,16.306,16.306,0.6111379192414186,0.3110229461918477
2023-01-03 14:30:00,16.306,16.306,0.6111379192414186,0.3110229461918477
2023-01-03 14:45:00,16.306,16.306,0.6111379192414186,0.3110229461918477
2023-01-03 15:00:00,16.773,16.773,0.6286407653278739,0.31993057012608006
2023-01-03 15:15:00,16.773,16.773,0.6286407653278739,0.31993057012608006
2023-01-03 15:30:00,16.773,16.773,0.6286407653278739,0.31993057012608006
2023-01-03 15:45:00,16.773,16.773,0.6286407653278739,0.31993057012608006
2023-01-03 16:00:00,16.661,16.661,0.6244430806133493,0.31779426631315927
2023-01-03 16:15:00,16.661,16.661,0.6244430806133493,0.31779426631315927
2023-01-03 16:30:00,16.661,16.661,0.6244430806133493,0.31779426631315927
2023-01-03 16:45:00,16.661,16.661,0.6244430806133493,0.31779426631315927
2023-01-03 17:00:00,17.072,17.072,0.6398470843425423,0.3256337383409312
2023-01-03 17:15:00,17.072,17.072,0.6398470843425423,0.3256337383409312
2023-01-03 17:30:00,17.072,17.072,0.6398470843425423,0.3256337383409312
2023-01-03 17:45:00,17.072,17.072,0.6398470843425423,0.3256337383409312
2023-01-03 18:00:00,16.893,16.893,0.6331382846648647,0.32221946706849525
2023-01-03 18:15:00,16.893,16.893,0.6331382846648647,0.32221946706849525
2023-01-03 18:30:00,16.893,16.893,0.6331382846648647,0.32221946706849525
2023-01-03 18:45:00,16.893,16.893,0.6331382846648647,0.32221946706849525
2023-01-03 19:00:00,16.099,16.099,0.6033796983851095,0.30707459896618156
2023-01-03 19:15:00,16.099,16.099,0.6033796983851095,0.30707459896618156
2023-01-03 19:30:00,16.099,16.099,0.6033796983851095,0.30707459896618156
2023-01-03 19:45:00,16.099,16.099,0.6033796983851095,0.30707459896618156
2023-01-03 20:00:00,14.962,14.962,0.5607657026671228,0.28538730043679783
2023-01-03 20:15:00,14.962,14.962,0.5607657026671228,0.28538730043679783
2023-01-03 20:30:00,14.962,14.962,0.5607657026671228,0.28538730043679783
2023-01-03 20:45:00,14.962,14.962,0.5607657026671228,0.28538730043679783
2023-01-03 21:00:00,13.099,13.099,0.4909417149603423,0.24985217540580235
2023-01-03 21:15:00,13.099,13.099,0.4909417149603423,0.24985217540580235
2023-01-03 21:30:00,13.099,13.099,0.4909417149603423,0.24985217540580235
2023-01-03 21:45:00,13.099,13.099,0.4909417149603423,0.24985217540580235
2023-01-03 22:00:00,11.427,11.427,0.42827627886493863,0.21796021134148436
2023-01-03 22:15:00,11.427,11.427,0.42827627886493863,0.21796021134148436
2023-01-03 22:30:00,11.427,11.427,0.42827627886493863,0.21796021134148436
2023-01-03 22:45:00,11.427,11.427,0.42827627886493863,0.21796021134148436
2023-01-03 23:00:00,9.366,9.366,0.3510313842521235,0.17864840635550383
2023-01-03 23:15:00,9.366,9.366,0.3510313842521235,0.17864840635550383
2023-01-03 23:30:00,9.366,9.366,0.3510313842521235,0.17864840635550383
2023-01-03 23:45:00,9.366,9.366,0.3510313842521235,0.17864840635550383
2023-01-04 00:00:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 00:15:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 00:30:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 00:45:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 01:00:00,7.067,7.067,0.2648664096209435,0.1347969557670666
2023-01-04 01:15:00,7.067,7.067,0.2648664096209435,0.1347969557670666
2023-01-04 01:30:00,7.067,7.067,0.2648664096209435,0.1347969557670666
2023-01-04 01:45:00,7.067,7.067,0.2648664096209435,0.1347969557670666
2023-01-04 02:00:00,4.0,4.0,0.14991731123302307,0.07629656474717227
2023-01-04 02:15:00,4.0,4.0,0.14991731123302307,0.07629656474717227
2023-01-04 02:30:00,4.0,4.0,0.14991731123302307,0.07629656474717227
2023-01-04 02:45:00,4.0,4.0,0.14991731123302307,0.07629656474717227
2023-01-04 03:00:00,0.868,0.868,0.032532056537566,0.01655635455013638
2023-01-04 03:15:00,0.868,0.868,0.032532056537566,0.01655635455013638
2023-01-04 03:30:00,0.868,0.868,0.032532056537566,0.01655635455013638
2023-01-04 03:45:00,0.868,0.868,0.032532056537566,0.01655635455013638
2023-01-04 04:00:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-04 04:15:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-04 04:30:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-04 04:45:00,0.085,0.085,0.0031857428637017404,0.0016213020008774106
2023-01-04 05:00:00,1.102,1.102,0.04130221924469785,0.02101970358784596
2023-01-04 05:15:00,1.102,1.102,0.04130221924469785,0.02101970358784596
2023-01-04 05:30:00,1.102,1.102,0.04130221924469785,0.02101970358784596
2023-01-04 05:45:00,1.102,1.102,0.04130221924469785,0.02101970358784596
2023-01-04 06:00:00,6.102,6.102,0.2286988582859767,0.11639040952181129
2023-01-04 06:15:00,6.102,6.102,0.2286988582859767,0.11639040952181129
2023-01-04 06:30:00,6.102,6.102,0.2286988582859767,0.11639040952181129
2023-01-04 06:45:00,6.102,6.102,0.2286988582859767,0.11639040952181129
2023-01-04 07:00:00,7.92,7.92,0.29683627624138564,0.15106719819940106
2023-01-04 07:15:00,7.92,7.92,0.29683627624138564,0.15106719819940106
2023-01-04 07:30:00,7.92,7.92,0.29683627624138564,0.15106719819940106
2023-01-04 07:45:00,7.92,7.92,0.29683627624138564,0.15106719819940106
2023-01-04 08:00:00,8.42,8.42,0.31557594014551354,0.1606042687927976
2023-01-04 08:15:00,8.42,8.42,0.31557594014551354,0.1606042687927976
2023-01-04 08:30:00,8.42,8.42,0.31557594014551354,0.1606042687927976
2023-01-04 08:45:00,8.42,8.42,0.31557594014551354,0.1606042687927976
2023-01-04 09:00:00,8.332,8.332,0.3122777592983871,0.15892574436835982
2023-01-04 09:15:00,8.332,8.332,0.3122777592983871,0.15892574436835982
2023-01-04 09:30:00,8.332,8.332,0.3122777592983871,0.15892574436835982
2023-01-04 09:45:00,8.332,8.332,0.3122777592983871,0.15892574436835982
2023-01-04 10:00:00,7.007,7.007,0.26261764995244813,0.133652507295859
2023-01-04 10:15:00,7.007,7.007,0.26261764995244813,0.133652507295859
2023-01-04 10:30:00,7.007,7.007,0.26261764995244813,0.133652507295859
2023-01-04 10:45:00,7.007,7.007,0.26261764995244813,0.133652507295859
2023-01-04 11:00:00,7.974,7.974,0.2988601599430315,0.1520972018234879
2023-01-04 11:15:00,7.974,7.974,0.2988601599430315,0.1520972018234879
2023-01-04 11:30:00,7.974,7.974,0.2988601599430315,0.1520972018234879
2023-01-04 11:45:00,7.974,7.974,0.2988601599430315,0.1520972018234879
2023-01-04 12:00:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 12:15:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 12:30:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 12:45:00,8.089,8.089,0.3031702826409809,0.1542907280599691
2023-01-04 13:00:00,7.972,7.972,0.298785201287415,0.15205905354111432
2023-01-04 13:15:00,7.972,7.972,0.298785201287415,0.15205905354111432
2023-01-04 13:30:00,7.972,7.972,0.298785201287415,0.15205905354111432
2023-01-04 13:45:00,7.972,7.972,0.298785201287415,0.15205905354111432
2023-01-04 14:00:00,8.022,8.022,0.30065916767782774,0.15301276060045396
2023-01-04 14:15:00,8.022,8.022,0.30065916767782774,0.15301276060045396
2023-01-04 14:30:00,8.022,8.022,0.30065916767782774,0.15301276060045396
2023-01-04 14:45:00,8.022,8.022,0.30065916767782774,0.15301276060045396
2023-01-04 15:00:00,7.974,7.974,0.2988601599430315,0.1520972018234879
